0.00	0.5250
0.02	0.5250
0.04	0.5250
0.06	0.5250
0.08	0.5250
0.10	0.5250
0.12	0.5250
0.14	0.5250
0.16	0.5250
0.18	0.5250
0.20	0.5250
0.25	0.5250
0.30	0.5250
0.35	0.5250
0.40	0.5250
0.45	0.5250
0.50	0.5250
0.55	0.5250
0.60	0.5250
0.65	0.4846
0.70	0.4500
0.75	0.4200
0.79	0.3997
0.85	0.3706
0.90	0.3500
0.95	0.3316
1.00	0.3150
1.10	0.2864
1.20	0.2625
1.30	0.2423
1.40	0.2250
1.50	0.2100
1.60	0.1969
1.70	0.1853
1.80	0.1750
1.90	0.1658
2.00	0.1575
2.25	0.1244
2.50	0.1008
2.75	0.0833
3.00	0.0700
4.00	0.0394
5.00	0.0252
6.00	0.0175
7.00	0.0129
8.00	0.0098
9.00	0.0078
10.00	0.0063
