0.00	0.1969
0.02	0.1969
0.04	0.1969
0.06	0.1969
0.08	0.1969
0.10	0.1969
0.12	0.1969
0.14	0.1969
0.16	0.1969
0.18	0.1969
0.20	0.1969
0.25	0.1969
0.30	0.1969
0.35	0.1969
0.40	0.1969
0.45	0.1969
0.50	0.1969
0.55	0.1969
0.60	0.1969
0.65	0.1817
0.70	0.1688
0.75	0.1575
0.79	0.1499
0.85	0.1390
0.90	0.1313
0.95	0.1243
1.00	0.1181
1.10	0.1074
1.20	0.0984
1.30	0.0909
1.40	0.0844
1.50	0.0788
1.60	0.0738
1.70	0.0695
1.80	0.0656
1.90	0.0622
2.00	0.0591
2.25	0.0467
2.50	0.0378
2.75	0.0312
3.00	0.0263
4.00	0.0148
5.00	0.0095
6.00	0.0066
7.00	0.0048
8.00	0.0037
9.00	0.0029
10.00	0.0024
